Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
-113,,,,,,,,,Cimbri defeat Gnaeus Carbo,"The Cimbri, a tribe of moving barbarians, defeat roman forces commanded by Gnaeus Carbo after he betrays the Cimbri.",,,,,,,Cimbrian War,
-112,,,,,,,,,Rome declares war on Jugurtha,"Jugurtha massacred italians at Cirta, this causes rome to declare war",,,,,,,Jugurthine War,
-111,,,,,,,,,Gnaeus Carbo commits suicide,"After being dishonored and prosecuted, Gnaeus Carbo commits suicide.",,,,,,,Cimbrian War,
-111,,,,,,,,,Peace with Jugurtha,"Jugurtha had a delegation of romans sent to him. He negotiates with the senators through bribes, peace is settled and he comes to Rome. In Rome Jugurtha bribes two tributes to veto any hearings.",,,,,,,Jugurthine War,
-110,,,,,,,,,Jugurtha assissinates Massiva,"Massiva was the other brother of Jugurtha, and claiment to the throne of Numidia. Jugurtha is thrown out of rome.",,,,,,,Jugurthine War,
-109,,,,,,,,,Jugurtha defeats legions,"Legions under leadership of Aulus Posumius Albinus Magnus are beaten by Jugurtha. They had to 'pass under the yoke'. The legions were led into a trap, possibly by bribery.",,,,,,,Jugurthine War,
-109,,,,,,,,,Metellus raises legions,"Quintus Caecilius Metellus raises legions without the 6 year maximum service restriction on soldiers. His new army consisted of veterans, and as one of the legates, Gaius Marius. Metellus takes a more carefull approach to attacking Jugurtha, cutting him off from his cities.",,,,,,,Jugurthine War,
-109,,,,,,,,,Mamilian Commission created,A commission filled with equestrians is created to convict optimate senators. They convict four men of ex-consular rank in a strike against the senate.,,,,,,,Jugurthine War,
-109,,,,,,,,,Cimbri defeat Silanus,"Silanus is without enough recruits as the war with Jugurtha is going on. Silanus is defiant to the Cimbri, and is defeated. The casualties are extremely high. The Cimbri do not march into italy.",,,,,,,Cimbrian War,
-108,,,,,,,,,Marius first consulship,"Marius is elected consulship in a surprise move. He is allowed to go back to rome by Metellus at the last moment, with the reasoning that he would not have enough time to win.",,,,,,,Jugurthine War,
-108,,,,,,,,,Jugurtha allies Bocchus of Mauretania,"Jugurutha allies the king of Mauretania, a neighbouring kingdom.",,,,,,,Jugurthine War,
-108,,,,,,,,,Marius sent to Numidia by assembly,"The assembly sends Marius to Numidia, overriding the senate. They let him recruit men of all social classes, not just those who had property. Sula is present in this army.",,,,,,,Jugurthine War,
-107,,,,,,,,,Marius defeat Jugurtha and Bocchus,"At Cirta, a combined army of Jugurtha and Bocchus is defeated by roman legions under Marius. Sulla supposed to have made contribution by flanking.",,,,,,,Jugurthine War,
-107,,,,,,,,,Tigurni defeat legions in Gaul,"Further damaging the roman reputation accross the alps, roman legions under Cassius Longinus are trapped and beaten by raiding barbarians. Cassius is exiled.",,,,,,,Cimbrian War,
-106,,,,,,,,,Pompey and Cicero born,,,,,,,,,
-105,,,,-100,,,,,Marius consulships 2nd-6th,"Under threat of Cimbri returning after the battle of Arausio, Marius is elected for an incredibly unprecented five consequetive consulships. He leads his armies to the border with Gaul and trains and waits.",,,,,,,,
-105,,,,,,,,,Jugurtha handed over to romans,Bocchus switches sides and by Sulla's diplomacy is convinced to hand over Jugurtha. Marius takes credit for his subordinate.,,,,,,,Jugurthine War,
-105,,,,,,,,,Cimbri win battle of Arausio,"Thirty five thousand romans and allies under Caepio's command, as well as another thirthy five thousand under Gnaeus Mallius Maximius, one of the consuls, are wiped off the map at Arausio by the Cimbri. Caepio did not answer to Gnaeus's superior status, and made his own fight with the Cimbri. Casualties placed between 60,000 to 80,000 legionaries and 40,000 camp followers.",,,,,,,Cimbrian War,
-104,,,,,,,,,Marian reforms,"Marius turns the legions under his command into mobile ones. Every legionary has to carry his own equipment to make marching faster, he reorganises the battle unit system and gets rid of the manipoles.",,,,,,,,
-104,,,,,,,,,Triump for Marius,"For winning the war with Jugurtha, Marius has a glorious triumph.",,,,,,,Jugurthine War,
-104,,,,-102,,,,,Second Servile War,"The second servile war goes much like the first one, with slave uprisings joined by peasants in sicily. The island is in anarchy. The first commander Lucullus who beats a slave army is relieved of his command, and because he is mad about this he disbands his legions and abandons the fortifications. Setting the progress of the war back.",,,,,,,,
-103,,,,,,,,,Saturninus secures land Marian veterans,"Saturninus, a popular reformer like the Gracchans but then much more interested in his own gains. He breeds goodwill with Marius by getting his veterans land. He is the man who will introduce street gangs to roman politics.",,,,,,,,
-102,,,,,,,,,Battle of Aquae Sextiae,"Marius defeats and slaughters the Teutones and the Ambrones, half of a two pronged invasion by the Cimbri. Meanwhile the Cimbri invade italy.",,,,,,,Cimbrian War,
-101,,,,,,,,,Battle of Raudian Plain,"Marius defeats the Cimbri, massacaring them. Marius is hailed as the 'third founder of rome' for his succesful defense against the barbarian invasions.",,,,,,,Cimbrian War,
-101,,,,,,,,,Saturninus kills Nonius,"Supporters of Saturninus kill Nonius, a person who was backed by the senate to become a tribute so he could stop Saturninus. He is killed before voting is completed.This wins Saturninus his second tribunate, no price is paid for the murder.",,,,,,,,
-100,,,,,,,,,Marius gives up power and retires east,,,,,,,,,
-100,,,,,,,,,Birth Caesar,,,,,,,,,
-100,,,,,,,,,Saturninus murdered,"The senate issues its second senatus consultum ultimum. After a year of street clashes by Saturninus's gang members. Metellus, who had command in Numidia before Marius, is exiled. Saturninus's friend Glaucia's run for consul is invalidated by Marius, ending the alliance. On election day, murder at the election platform causes a breakdown of order. Marius is granted absolute power and kills Saturninus and Glauca.",,,,,,,,
-94,,,,,,,,,Records of the Grand Historian,"Records of the Grand Historian are finished by Sima Qian, comparable to a chinese herodotus. These texts describe a 2500 year period from the start of the Yellow Emporer to the Emporer Wu of Han in the contemporary time.",,,,,,china,,
-91,,,,,,,,,Marcus Livius Drusus assassinated,Tribune of the plebs killed because he tried to grant the italians citizenship amongst other reforms.,,,,,,,Social War,
-91,,,,-88,,,,,Social War,"The italians have been denied citizenship one too many times. Quitnus Poppaedius Silo from the Marsics pledges his allegiance to Marcus Livius Drusus, a senator who sought to give the italians citizenship. The senate dismisses these proposals and has Drusus assassinated.",,,,,,,,
-91,,,,,,,,,Mitrhadates invades BIthynia,"Invoking his ally Tigranes to invade Cappadocia, a puppet kingdom of Rome, Mithradates himself invades Cappadocia. Together they claim much of Anatolia.",,,,,,,,
-91,,,,,,,,,Drusus assassinated,"For proposing a slate of reforms that run against the romans and favour italians, Marcus Livius Drusus is killed. He did not veto the overturning of his laws. He is assassinated by a random individual, it is unknown who gave the order if anyone.",,,,,,,,
-91,,,,,,,,,Social war starts,"Silo, a popular italian commander, had vested his hope in Drusus's reforms. When these were rejected, this meant war between rome and the italians.",,,,,,,Social War,
-90,,,,,,,,,Marius command norther legions,"Marius is given nomial command of the norther legions in the social war, however many younger men do not respect him and override his advice, and are then killed and defeated.",,,,,,,Social War,
-90,,,,,,,,,Lex Julia,The Lex Julia extends roman citizenship to all italians not fighting the romans currently.,,,,,,,Social War,
-89,,,,-85,,,,,First Mithradatic War,,,,,,,,,
-89,,,,,,,,,Lex Plautia Papiria,This law extends roman citizenship even to those italians who are fighting the romans.,,,,,,,Social War,
-89,,,,,,,,,Sulla runs succesful campaign in south,"Sulla wins over towns like Pompeii and territory in Hirpini and Samnium, to the roman side. This makes him popular just before the consular elections.",,,,,,,Social War,
-89,,,,,,,,,Sulla elected consul,,,,,,,,Social War,
-88,,,,,,,,,Silo dead after battle,"The end of the social war is marked by the death of Silo, after he dies in battle in Apulia.",,,,,,,Social War,
-88,,,,,,,,,Italians massacred Mithradates,"Under the influence of Mithradates, italians in asia and greece are killed. Some 80,000 italians are killed in a day.",,,,,,,,
-88,,,,,,,,,Sulla first march on Rome,"Sulla is denied the appointment to fight Mithradates in the east by Publius Sulpicius Rufus. The appointment is instead given to Marius by the senate. This deprives Sula and his troops of the plunder they would get in Asia, and so they revolt and march on Rome. The first time such an act is done. After 6 legions invade rome and the skirmishes end with marius's partisans, Sulpicius is killed.",,,,,,,,
-88,,,,,,,,, Marius flees to Africa,"Following the march on rome by Sulla, Marius flees to Africa where his old legions have colonized.",,,,,,,,
-87,,,,,,,,,Sulla besieges Athens,"One of the greek towns to fall under Mithradates, Sulla besieges Athens.",,,,,,,,
-87,10,,,,,,,,Cinna and Marius reign of terror,,,,,,,,,
-87,,,,,,,,,Cinna deposed of consulship,"After a giant street brawl, Octavius accuses Cinna of starting it and has him deprived of his consulship and exiled.",,,,,,,,
-86,,,,,,,,,Marius dies consul,"Seventeen days after being elected to his 7th consulship, Marius dies a natural death.",,,,,,,,
-86,,,,,,,,,Battle of Chaeronea,"Sulla's legions are outnumbered but defeat a force of 120,000 pontic warriors. He wins handsomely.",,,,,,,,
-86,,,,,,,,,Battle of Orchomenus,"Sulla's forces narrowely defeat another 120,000 strong pontic army after he rallies his forces. This wins the war in greece.",,,,,,,,
-85,,,,,,,,,Sulla peaces Mithridates,"Sulla restores the situation before the war, along with seventy warships and heaps of silver. This is very lenient for the massacre that Mithridates commited, but Sulla wants to go back to rome.",,,,,,,,
-84,,,,,,,,,Cinna stoned to death by own troops,"Cinna, the dictator in rome together with Marius, sole after Marius dies, raises troops. He ships half of them over to greece to start fighting sulla, but then his troops drown in a terrible storm. The troops mutiny and kill Cinna.",,,,,,,,
-83,,,,,,,,,"Metellus Pius, Pompey and Crassus join Sulla","Sulla is joined by new allies in Italy and recognises Italian citizenship publicaly. This makes his enemies much weaker. Metellus is made co-comander of his armies, Pompey is richly hailed. Crassus not so much.",,,,,,,,
-82,,,,,,,,,Battle of the Colline Gate,Sulla's 2nd march on rome aided by Crassus and Pompey,,,,,,,,
-82,,,,-81,,,,,Sulla dictator of laws,"Sulla pressures the senate into making him the dictator of laws. He pushes through a large amount of reforms that he thinks will restore the integrity of the republic, however later generations will follow his example, not his laws.",,,,,,,,
-81,,,,,,,,,Sullan proscriptions,"Sulla starts with 80 names after being asked who he would spare and who he would condemn. These men are free to be killed and their property seized. This is the first in a long roman tradition of killing men and seizing their wealth. The next day 220 men more are added to the list, and it rapidly grows. Terror envelops rome, and people are killed for owning good property. Many people make their wealth on the killing of those proscribed.",,,,,,,,
-80,,,,,,,,,Sulla Second Consulship,Sulla resigns from the office of dictator and becomes a regular consul.,,,,,,,,
-79,,,,,,,,,Sulla retires,,,,,,,,,
-78,,,,,,,,,Sulla dies,"""No friend ever served me, and no enemy ever wronged me, whom I have not repaid in full""",,,,,,,,
-73,,,,-71,,,,,Third Servile War,Spartacus and all that,,,,,,,,
-70,1,1,,-69,1,1,,,Consulship Pompey & Crassus,,,,,,,,,
-70,,,,,,,,,Cicero prosecutes Gaius Verres,"Gaius Verres had plundered sicily whilst governer there. Cicero launched his legal carreer by prosecuting him for his crimes. Verres quickly fled rome, but Cicero did publish the speeches he would have used against him as ""In Verrem"" (against Verres)",,,,,,,,
-67,,,,-62,,,,,Pompey conquers the east,,,,,,,,,
-63,,,,-63,,,,,Catiline Conspiracy,,,,,,,,,
-63,,,,,,,,,Consulship Cicero,,,,,,,,,
-60,,,,,,,,,Consulship Caesar,Caesar is elected consul after a particularly bribe heavy election. Even Cato is said to have resorted to bribary.,,,,,,,,
-59,,,,-53,,,,,First Triumverate,,,,,,,,,
-58,,,,,,,,,Battle of Bibracte,"Caesar and 6 roman legions fight the Helvetii tribe, winning and stopping a large migration through roman territory.",,,,,,,,
-56,1,,,-52,1,,,,Gaelic Campaign,Caesar subjegates France,,,,,,,,
-54,9,,,,,,,,"Julia, wife of pompey, dies","Julia, daughter of Caesar and wife of Pompey dies. Starts the breakdown between Caesar and Pompey.",,,,,,,,
-52,9,,,,,,,,Battle of Alesia,"Caesar is besieges Alesia, but is then encircled by a large relief army of Gauls.",,,,,,,,
-49,1,,,,,,,,Caesar crosses the Rubicon,"Caesar crosses the small stream of the Rubicon, which symbolically marks the region of Italy.",,,,,,,,
-48,8,9,,,,,,,"Pharsalus battle
",Caesar beats Pompey,,,,,,,,
-48,,,,,,,,,Library of alexandria destroyed,One of the possible dates for the destruction of the library of alexandria.,,,,,,,,
-48,7,10,,,,,,,Battle of Dyrrhachium,"Near modern Albania the army of Gnaeus Pompeius Magnus defeats Caesar, but he does not press his victory fearing he had not really beaten Caesar.",,,,,,,,
-44,4,15,,,,,,,Julius Caesar Assasinated,,,,,,,,,
-43,,,,,,,,,Cicero is killed,,,,,,,,,
-43,,,,-33,,,,,The Second Triumverate,,,,,,,,,
-43,,,,,,,,,Proscriptions Second Triumvirate,After taking power Mark Antony and Augustus kill off a lot of people to get rid of their enemies and seize a lot of wealth. Cicero is amongst those killed.,,,,,,,,
-42,10,23,,,,,,,Battle of Philippi,,,,,,,,,
-31,,,,,,,,,Battle of Actium,Octavian/Agrippa beats Anthony,,,,,,,,
-29,,,,-19,,,,,Aeneid written,"The Aeneid is written by Virgil. Sponsored by Augustus, this book explains how the romans descend from the greeks by Aeneas who flees the sack of Troy.",,,,,,,,
-27,,,,14,,,,,Augustus,,,,,,era,,,
-27,,,,,,,,,First constitutional settlement,Augustus makes a show of handing power back over to the Senate and then graciously accepting his power back.,,,,,,,Augustus,
-23,,,,,,,,,Second constitutional settlement,"Octavian (Augustus) given at large pro-consular authorithy in all provinces outside of Italy. He no longer had to serve as Consul, letting other ambitious men hold the title so that they would not hate him for taking up the spot. Agrippa heir apparent for the moment.",,,,,,,Augustus,
-23,,,,,,,,,Marcellus dies,"Marcellus, nephew of Augustus and married to Augustus daughter, dies.",,,,,,,Augustus,
-20,,,,,,,,,Legionary standards returned,Augustus/Agrippa negotiate the return of the Legionary standards lost to Parthia by Crassus.,,,,,,,Augustus,
-16,,,,,,,,,Rome conquers Alps,"Amongst a string of wars fought by Augustus, rome pacifies the Alps.",,,,,,,Augustus,
-12,,,,,,,,,Agrippa dies,"Tiberius and Drusus are now heirs apparent for Augustus succession.Tiberius forced to divorce Vipsania and marry Julia the Elder, Augustus's daughter. This made Tiberius very unhappy.",,,,,,,Augustus,
-6,,,,,,,,,Tiberius self-imposed exile,"Tiberius chooses to retire to Rhodes, being unhappy in roman politics.",,,,,,,Augustus,
4,,,,,,,,,Lucius and Gaius dead,"Both sons of Agrippa die in tragic accidents, Tiberius must now be heir. For this he is forced to adopt his nephew Germanicus.",,,,,,,Augustus,
9,,,,,,,,,Battle of the Teutoburg Forest,"The romans get massacred in an ambush, forever after do they fear expansion into germanic territories.",,,,,,,Augustus,
14,,,,37,,,,,Tiberius,,,,,,era,,,
14,,,,,,,,,Augustus dies,"Augustus dies in his old age, power is smoothly handed over to Tiberius.",,,,,,,Tiberius,
15,,,,,,,,,Germanicus forrays into germany,"Germanicus, adopted son of Tiberius, puts down troop uprisings in Germania and holds punitive expeditions into Germany. Though he does not manage to capture Arminius.",,,,,,,Tiberius,
19,,,,,,,,,"Germanicus promoted East, dies","Germanicus is promoted away from glory by Tiberius and sent to the east, here is dies under suspicious circumstances in Egypt.",,,,,,,Tiberius,
29,,,,,,,,,Livia dies,"Livia Drusilla, mother of Tiberius, wife of Augustus, dies. Sejenus now has free reign over Rome in the absence of Tiberius, who has moved to Capri.",,,,,,,Tiberius,
31,,,,,,,,,Sejenus executed,"Sejenus plotted against Tiberius to become emporer. Tiberius made him read aloud his letter to the senate ordering his own execution, he is executed by the senate. Tiberius returns to rome, more treason trails follow as well as proscriptions resume. Caligula made heir apparent (the man proving you should never put your trust in 'it can't get any worse' )",,,,,,,Tiberius,
37,,,,41,,,,,Caligula,,,,,,era,,,
37,3,,,,,,,,Tiberius dies,"Tiberius is smothered with a pilo by the new praetorian prefect after a bout of illness, supposedly to finish the job. Tiberius leaves empire to Caligula and Tiberius Gemellus. Caligula has Tiberius Gemellus killed and the will voided.",,,,,,,Caligula,
37,12,,,,,,,,Caligula sickness,"Caligula suffers from a sickness, he recovers but after this he becomes a more diabolical emporer, instituting prescriptions to gather money. He also promises to make his horse consul as it 'has more intelligence than the senate'",,,,,,,Caligula,
39,,,,,,,,,Caligula mock campaign,"Caligula hosts some mock excursions into germany and gathers seashells in britain, hosts himself a title and adds titles.",,,,,,,Caligula,
41,,,,54,,,,,Claudius,,,,,,era,,,
