Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Period,Background
-59,,,,-53,,,,,First Triumverate,,,,,,,,,
-58,,,,,,,,,Battle of Bibracte,"Caesar and 6 roman legions fight the Helvetii tribe, winning and stopping a large migration through roman territory.",,,,,,,,
-56,1,,,-52,1,,,,Gaelic Campaign,Caesar subjegates France,,,,,,,,
-54,9,,,,,,,,"Julia, wife of pompey, dies","Julia, daughter of Caesar and wife of Pompey dies. Starts the breakdown between Caesar and Pompey.",,,,,,,,
-52,9,,,,,,,,Battle of Alesia,"Caesar is besieges Alesia, but is then encircled by a large relief army of Gauls.",,,,,,,,
-49,1,,,,,,,,Caesar crosses the Rubicon,"Caesar crosses the small stream of the Rubicon, which symbolically marks the region of Italy.",,,,,,,,
-48,8,9,,,,,,,"Pharsalus battle
",Caesar beats Pompey,,,,,,,,
-48,,,,,,,,,Library of alexandria destroyed,One of the possible dates for the destruction of the library of alexandria.,,,,,,,,
-48,7,10,,,,,,,Battle of Dyrrhachium,"Near modern Albania the army of Gnaeus Pompeius Magnus defeats Caesar, but he does not press his victory fearing he had not really beaten Caesar.",,,,,,,,
-44,4,15,,,,,,,Julius Caesar Assasinated,,,,,,,,,
-43,,,,,,,,,Cicero is killed,,,,,,,,,
-43,,,,-33,,,,,The Second Triumverate,,,,,,,,,
-43,,,,,,,,,Proscriptions Second Triumvirate,After taking power Mark Antony and Augustus kill off a lot of people to get rid of their enemies and seize a lot of wealth. Cicero is amongst those killed.,,,,,,,,
-42,10,23,,,,,,,Battle of Philippi,,,,,,,,,
-31,,,,,,,,,Battle of Actium,Octavian/Agrippa beats Anthony,,,,,,,,
-29,,,,-19,,,,,Aeneid written,"The Aeneid is written by Virgil. Sponsored by Augustus, this book explains how the romans descend from the greeks by Aeneas who flees the sack of Troy.",,,,,,,,
-27,,,,14,,,,,Augustus Rules,,,,,,era,,,
-27,,,,,,,,,First constitutional settlement,Augustus makes a show of handing power back over to the Senate and then graciously accepting his power back.,,,,,,,,
-23,,,,,,,,,Second constitutional settlement,"Octavian (Augustus) given at large pro-consular authorithy in all provinces outside of Italy. He no longer had to serve as Consul, letting other ambitious men hold the title so that they would not hate him for taking up the spot. Agrippa heir apparent for the moment.",,,,,,,,
-23,,,,,,,,,Marcellus dies,"Marcellus, nephew of Augustus and married to Augustus daughter, dies.",,,,,,,,
-20,,,,,,,,,Legionary standards returned,Augustus/Agrippa negotiate the return of the Legionary standards lost to Parthia by Crassus.,,,,,,,,
-16,,,,,,,,,Rome conquers Alps,"Amongst a string of wars fought by Augustus, rome pacifies the Alps.",,,,,,,,
-12,,,,,,,,,Agrippa dies,"Tiberius and Drusus are now heirs apparent for Augustus succession.Tiberius forced to divorce Vipsania and marry Julia the Elder, Augustus's daughter. This made Tiberius very unhappy.",,,,,,,,
-6,,,,,,,,,Tiberius self-imposed exile,"Tiberius chooses to retire to Rhodes, being unhappy in roman politics.",,,,,,,,
4,,,,,,,,,Lucius and Gaius dead,"Both sons of Agrippa die in tragic accidents, Tiberius must now be heir. For this he is forced to adopt his nephew Germanicus.",,,,,,,,
9,,,,,,,,,Battle of the Teutoburg Forest,"The romans get massacred in an ambush, forever after do they fear expansion into germanic territories.",,,,,,,,
14,,,,37,,,,,Tiberius,,,,,,era,,,
14,,,,,,,,,Augustus dies,"Augustus dies in his old age, power is smoothly handed over to Tiberius.",,,,,,,,
15,,,,,,,,,Germanicus forrays into germany,"Germanicus, adopted son of Tiberius, puts down troop uprisings in Germania and holds punitive expeditions into Germany. Though he does not manage to capture Arminius.",,,,,,,,
19,,,,,,,,,"Germanicus promoted East, dies","Germanicus is promoted away from glory by Tiberius and sent to the east, here is dies under suspicious circumstances in Egypt.",,,,,,,,
29,,,,,,,,,Livia dies,"Livia Drusilla, mother of Tiberius, wife of Augustus, dies. Sejenus now has free reign over Rome in the absence of Tiberius, who has moved to Capri.",,,,,,,,
31,,,,,,,,,Sejenus executed,"Sejenus plotted against Tiberius to become emporer. Tiberius made him read aloud his letter to the senate ordering his own execution, he is executed by the senate. Tiberius returns to rome, more treason trails follow as well as proscriptions resume. Caligula made heir apparent (the man proving you should never put your trust in 'it can't get any worse' )",,,,,,,,
37,,,,41,,,,,Caligula,,,,,,era,,,
37,3,,,,,,,,Tiberius dies,"Tiberius is smothered with a pilo by the new praetorian prefect after a bout of illness, supposedly to finish the job. Tiberius leaves empire to Caligula and Tiberius Gemellus. Caligula has Tiberius Gemellus killed and the will voided.",,,,,,,,
37,12,,,,,,,,Caligula sickness,"Caligula suffers from a sickness, he recovers but after this he becomes a more diabolical emporer, instituting prescriptions to gather money. He also promises to make his horse consul as it 'has more intelligence than the senate'",,,,,,,,
39,,,,,,,,,Caligula mock campaign,"Caligula hosts some mock excursions into germany and gathers seashells in britain, hosts himself a title and adds titles.",,,,,,,,
41,,,,54,,,,,Claudius,,,,,,era,,,
41,1,22,,,,,,,Caligula assassinated,"Caligula is assassinated by Cassius Loginus and Cassius Chaerea. The senate attempts to restore the republic but the military empores Claudius, who they think they can control.",,,,,,,,
43,,,,,,,,,Claudius expands into Britain,,,,,,,,,
48,,,,,,,,,Messalina executed,"Messalina, the wife of Claudius is executed for treason. Reportedly she married her lover Gaius Silius in a large public ceremony at Ostia. After this coup failed by Gaius Silius, she was executed. Claudius marries Agrippina the younger, his niece.",,,,,,,,
49,,,,,,,,,Nero adopted,Claudius adopts Nero,,,,,,,,
54,,,,68,6,9,,,Nero,,,,,,era,,,
54,10,13,,,,,,,Claudius murdered,"Claudius is murdered, supposedly by poison. The chief suspect is Agrippina the younger, who's son Nero is now emporer. Agrippina had to murder Claudius before his original son Britannicus could gain power. Apparently Claudius had threathened to divorce her once Britannicus would come of age soon after. Brittanicus is soon murdered.",,,,,,,,
64,,,,,,,,,Great Fire of Rome,,,,,,,,,
64,7,18,,,,,,,Great Fire of Rome,"A great fire burns through rome, starting on the Aventine hill and ravaging a large part of the city. Nero is soon blamed by the public, reputedly burning down the city to make space for his emporer complex. Nero decides to blame the Christians and persecutes them (leading to Nero standing for '666', or the number of the beast).",,,,,,,,
66,,,,73,,,,,Great Jewish Revolt,,,,,,,,,
66,8,,,,,,,,Great Jewish Revolt,"THe jews are unhappy about the tax farming system. The temple in Jerusalem has recently been finished and now many young men are unemployed in the region. November sees a legion from Syria being wiped out, Vespasian is ordered by Nero to put down the revolt.",,,,,,,,
68,6,8,,69,12,20,,,Year of the Four Emporers,,,,,,,,,
68,5,,,,,,,,Vindex put down,"Gaius Julius Vindex, governer of Gallia Lugdunesis in modern France, rises up in rebellion against Nero's tax policies. He calls upon Galba, governer of Hispania Tarraconesis, to rise up in revolt and declare himself emporer. Galba waits for awhile to see developments. Then Vindex is put down by Rufus of Germania Superior, whos troops try to hail him emporer but he declines and lives.",,,,,,,,
68,6,9,,,,,,,Nero suicide,"Nero had Galba declared an enemy of the state, but Galba kept gaining followers so Nero attempts to flee. Finally decides to kill himself. Galba is hailed as emporer by senate and Nero is made the public enemy posthumously. Galba does not pay a large donatif to the Praetorians, as had been promised by non-associated people for him in Rome.",,,,,,,,
69,12,21,,79,,,,,Vespasian,,,,,,era,,,
69,1,,,,,,,,Otho kills Galba,"Otho, one of Galba's earliest supporters, decides to kill Galba after Galba passes him up as an heir. Otho goes into a fury and kills Galba. Otho is broke after putting all of his eggs on the 'getting heirship' basket.",,,,,,,,
69,4,14,,,,,,,First battle of Bedriacum,"Vitellius has risen up along the Rhine, declaring Otho an illegitimate usurper. The troops from the Rhine are hardened by the Germanic Wars. Otho's suddenly raised forces are defeated, and Otho kills himself to prevent further slaughter of romans.",,,,,,,,
69,10,24,,,,,,,Second battle of Bedriacum,"Verspasians forces from the eastern provinces have come and picked up more forces along the way. The manage to beat Vitellius's forces. Vetellius tried to give up but his supporters killed Vespasians brother, Vespasian takes rome. After the taking of Rome, there is general chaos.",,,,,,,,
70,,,,,,,,,Fall of Jerusalem,"The largest last bastion of the great jewish revolt falls as Jerusalem is taken by Titus, son of Vespasian.",,,,,,,,
79,,,,81,,,,,Titus,Died of a fever,,,,,era,,,
79,8,24,,,,,,,Mount Vesuvius Eruption,"Pompeii is covered over, a large amount of people die.",,,,,,,,
80,,,,,,,,,Fire in Rome,"A large number of important buildings are destroyed, Titus rushes to aid the city of Rome.",,,,,,,,
80,,,,,,,,,Colosseum completed,"The colosseum had started being built in 70 ad under Vespasian, being completed ten years later under Titus.",,,,,,,,
81,,,,96,,,,,Domitian,,,,,,era,,,
86,,,,88,,,,,Dacian War,"The Dacians invade Moesia over the Danube, one legion is annihalated. Other problems in the empire, trouble amongst the Rhine and Pannonia, caused the Romans to sue for peace. In exchange for freeing prisoners the Dacian king Decebalus obtains roman engineers to build forts that are later used against the romans.",,,,,,,,
89,1,1,,,,,,,Saturninus rebels,"The general and governer of Germania Superior, Lucius Antonius Saturninus and his two legions rebel against Domitian. Saturninus had made a deal with the Chati to help him, but due to a surprise thaw they cannot come, Saturninus is soon crushed. Nerva is made consul together with Domitian the next year, possibly for uncovering a plot or possibly unrelated.",,,,,,,,
96,,,,98,,,,,Nerva,,,,,,era,,,
96,9,18,,,,,,,Domitian assassinated,"Domitian is assassinated by court officials. Killed in his hime by a close friend, in legend he had been foretold to die at noon and only relaxed when noon had passed. A servant told him the wrong time and this leads to his death. The senate makes Nerva emporer afterwards as a stopgag measure, as they cannot agree with themselves who to make emporer.",,,,,,,,
97,10,,,,,,,,Praetorians siege Imperial Palace,"The Praetorian guard, protectors of the emporer, lay siege to the Imperial Palace and take Nerva as a hostage. To calm them Nerva promises to put the assassins of Domitian to death.",,,,,,,,
97,11,,,,,,,,Trajan heir,"Trajan is made heir to Nerva. This gives Nerva strong support amongst the military, as Trajan is a popular general. Trajan is given the same power as Nerva, but Trajan does not travel to rome quickly, waiting until Nerva's death and prospecting the provinces meanwhile.",,,,,,,,
98,,,,117,,,,,Trajan,,,,,,era,,,
98,1,28,,,,,,,Nerva stroke,"Nerva dies a natural death as an emporer, Trajan is now officialy emporer, without any real opposition.",,,,,,,,
101,3,,,,,,,,First Dacian campaign,"Trajan has amassed forces for awhile and makes a first invasion on Dacia, a province with rich goldmines. He defeats a dacian army, this was a close battle and Trajan delays for the rest of the year to regroup his army.",,,,,,,,
102,,,,,,,,,Peace with Dacia,"After the second battle of Tapae, Trajan and Decebalus make peace the following spring. Decebalus seems to agree to terms but soon afterwards starts rearming and harbouring roman refugees.",,,,,,,,
105,,,,106,,,,,Second Dacian War,"Amassing some 14 legions along the Danube border, some 150-175,000. Fighting against around 200,000. The romans decisively win, and conquer up to 500,000 slaves, 165,500 kg of gold and 331,000 kg of silver.",,,,,,,,
113,,,,,,,,,Rome wars Parthia,"Parthia puts an unacceptable king on the throne of Armenia. Trajan uses this to make a war against an internally divided Parthia. He quickly manages to defeat them, and conquers down to the Persian gulf, through modern day Iraq and Kuwait. This also gave them much better access to the silk road. A string of victories follow, but Trajan catches a heat stroke. Trajan dies, and possibly due the involvement of his wife, Hadrian is made emporer.",,,,,,,,
115,,,,117,,,,,Second Jewish war,"The second major campaign against the Jews sees a huge number of Roman civilians, 460,000, die in Cyranaica, Cyprus and Egypt.  Large jewish communities are annihalated or uprooted and moved away. Some of the areas have to be resettled due to so very few people remaining behind. ",,,,,,,,
117,,,,138,,,,,Hadrian,,,,,,era,,,
117,,,,,,,,,Hadrian pulls back,"Hadrian gives up lands in Mesopotamia and upper Dacia, finding them to be indefensable. This is a great affront to the Roman senate and army but the begrudingly accept.",,,,,,,,
117,6,,,,,,,,Trajan executes 4 senators,"Trajan finds four prominent senators to be conspiring against him and he has them executed, they are hunted down and killed. As Hadrian is not yet in Rome he can feign innocence. ",,,,,,,,
122,,,,,,,,,Hadrian Wall started,The construction of the Hadrian wall in England is started. This was ment to control their movement and funnel them through checkpoints whenever trade was conducted.,,,,,,,,
122,,,,133,,,,,Hadrian travels empire,"Hadrian travels around the empire and has a great many buildings constructed and infrastructure improved. Apart from one brief stay in 128, he does not return to Rome.",,,,,,,,
130,10,,,,,,,,Antinous drowns,"Antinous, the favourite lover of Hadrian, drowns in the Nile river. The circumstances are unknown. Hadrian is greatly saddened by this death, he founds a city on the place of his death, Antinopolis, and proclaims him a god without approval of the senate. Antinous becomes one of the most wellknown faces as many statues are constructed in his honour.",,,,,,,,
131,,,,,,,,,Hadrian creates Panhellenion,"A great fan of all things Greek, on his visit through the province of Greece Hadrian creates a parliament of the greeks to try to foster cooperation. This fails after his death.",,,,,,,,
132,,,,136,,,,,Third Jewish War,"The Bar Kokhba revolt, a large organised revolt by the jews around Judea.  120,000 romans from 7 legions are brought in to put down the revolt. Around 580,000 jews are killed, with many more dying of famine and disease. Massive roman casualties.",,,,,,,,
133,,,,89,,,,,Han-Xiongu war,"A major war with their northern rivals, the Xiongu confederacy, establishes the han as a dominant power and clears the silk road for Han use.",,,,,,,,
137,,,,,,,,,Lucius Caesar made heir,"Lucius Caesar is made the heir, but he is in poor health. Marcus Aurelius is married to the daughter so that he will be the heir of Lucius. To give him more time to grow up.",,,,,,,,
138,,,,161,,,,,Antoninus Pius,,,,,,era,,,
138,,,,,,,,,Antoninus made heir,"Lucius dies at the start of 138, and Antoninus is made heir. Marcus Aurelius is to be adopted by Antoninus and be his heir.",,,,,,,,
161,,,,180,,,,,Marcus Aurelius,,,,,,era,,,
161,,,,169,,,,,Lucius Verus Co-Emporer,,,,,,,,,
161,,,,,,,,,Antoninus dies,"Antoninus dies of an illness in 161, Marcus Aurelius is made emporer and he insists that his adopted brother Lucius Verus is made co-emporer.",,,,,,,,
161,,,,166,,,,,Roma Parthia war,Lucius is sent to the eastern provinces after Parthians invade Armenia and wipe out a responding roman legion. Lucius makes his way over very slowly and delegates most of the commanding to capable generals. The romans counter attack during 163 and slowly win untill 166 when a peace is signed. Avidius Cassius makes a name for himself during this war.,,,,,,,,
162,4,,,,,,,,Tiber floods,Much of Rome is flooded in a great flooding of the Tiber river. This is given special personal attention by both emporers.,,,,,,,,
164,,,,,,,,,Buddhism preached in China,Lokaksema starts preaching Buddhism in China.,,,,,,China,,
165,,,,180,,,,,Antonine Plague,"The antonine plague, braught back from the Parthian war, ravages the Roman Empire. May have also effected China. A mortality rate of about 25% throughout the roman empire.",,,,,,,,
166,,,,180,,,,,Marcomannic Wars,"Marcus spends many years fighting chiefly the Marcomanni and Quadi and the Sarmatian lazyges. Along all of the Danube frontier there is fighting, hampered by the Antonine plague depleting the legions and farmlands. In the end he is succesful and manages to enforce favourable roman terms.",,,,,,,,
167,,,,,,,,,Ballomar besieges Aquileia,"King of the Marcomani, Ballomar assembles a force of 20,000 and invade Rome. They make good time over the Roman infrastructure and manage to reach and shortly but failedly besiege Aquileia. This marks the first time in 266 years that a hostile army enters Italy.",,,,,,,,
175,,,,,,,,,Avidius Cassius uprising,"After a mistaken report that Marcus Aurelius had died, Avidius Cassius declares himself emporer. Possibly urged on by Faustina, the wife of Marcus, to protect the son Commodus. Avidius had already cast the die, went on with the dead but was put down, and he was murdered by a centurion. After this leaders are not allowed to lead the provinces they are born in, and troops are stationed far away from their homes to prevent such loyalties from being created.",,,,,,,,
177,,,,180,,,,,Commodus Co-Emporer,,,,,,,,,
180,,,,192,12,31,,,Commodus,,,,,,era,,,
180,10,,,,,,,,Commodus peaces Germans,"Commodus quickly makes peace with the Germans, having enough of living in damp and cold troop encampments. The german tribes eagerly want this after having fought wars for so long. Commodus hosts many games on his return and quickly turns to treason trails and the selling of offices to pay for them.",,,,,,,,
182,,,,,,,,,Conspiracy Lucilla anti Commodus,"A conspiracy of high-ranking advisors, one of the chiefs being Lucilla the older sister of Commodus, attempts to kill Commodus. The assassin tries to kill him on the street, allegedly shouting something about payback from the senate. Lucilla wants to kill commodus because he now has a wife and she is no longer the preeminent woman of the roman empire. Commodus's favourite chamberlain Saoterus is killed by the conspirers.",,,,,,,,
185,,,,,,,,,Perennis accused treason,"Perennis, the favourite of Commodus from the death of Saoterus, is finally implicated by Cleander. Generally thought to be a competent administrator, Perennis was corrupt though and accused of being so by many others. However Commodus believed Perennis over the others, after soldiers come marching from Britain to the capital Commodus gives in and has Perennis killed. Cleander becomes de-facto ruler.",,,,,,,,
190,3,,,,,,,,Cleander's fall,"Cleander is in power untill 190 and many consulships and positions are sold off. During a grain shortage, the blame is laid on Cleander. Mobs are roused against Cleander. At the horse races, where the emporer still came, children were bought to protest against Cleander, Praetorian guard sent in to stop them, but Pertinax sends in Vigiles Urbani to stop the Praetorians and continue the protest. Commodus agrees to behead Cleander.",,,,,,,,
190,,,,,,,,,25 consuls appointed,"A revolving door of consuls is appointed as men bid money to add consul to their list of accomplishments. Rome has had increasing amounts of consuls, with a division between Suffect consulships and during the year and Consul Ordinarius who started the year and had the year named after them.",,,,,,,,
192,11,,,,,,,,Commodus assassinated,"For two years Commodus has let his lust for adoration run rampant on Rome. He re-consecrates Rome as 'Colonia Lucia Annia Commodiana', and renames all the months after his names, renames legions and fleet after himself. Laetus prefect conspires against Commodus and after a struggle with his wrestling partner he is killed. Made a public enemy posthumously.",,,,,,,,
192,11,,,193,3,28,,,Pertinax reigns,"Pertinax is disciplined, but he is not liked because of austere measures to save the empire from financial ruin of Commodus. He takes back some of the benefits going to the legions, and the troops turn against him.",,,,,,,,
193,1,1,,194,3,1,,,Year of the Five Emporers,,,,,,,,,
193,4,9,,211,2,4,,,Septimius Severus,,,,,,era,,,
193,3,28,,193,6,1,,,Didius Julianus emporer,"Julianus buys the emporership from the Praetorian guard who kill Pertinax, Septimius Severus comes in quickly afterwards and has him killed.",,,,,,,,
193,11,,,,,,,,Severus vs Niger,"The armies of Severus and Pescennius Niger fight near Byzantium, Severus wins. Niger was very slow to muster his troops in the area. A second battle, the battle of Cyzicus, follows in december on northwest Anatolia.",,,,,,,,
